Unit,Lat,Lon,Calls_Served,Busy_Hours,Utilization_Pct,Calls_Per_Day
SEC_1,42.892469584060144,-88.78169672002204,293,253.76666666666668,2.89,0.8
SEC_2,42.95246958406015,-88.84169672002204,471,372.4,4.25,1.29
SEC_3,43.01246958406015,-88.60169672002203,273,260.48333333333335,2.97,0.75
SEC_4,43.13246958406015,-88.54169672002203,1220,1035.3666666666666,11.81,3.34
SEC_5,43.192469584060156,-88.72169672002204,405,310.76666666666665,3.55,1.11
SEC_6,43.192469584060156,-88.60169672002203,426,389.15,4.44,1.17
