Unit,Lat,Lon,Calls_Served,Busy_Hours,Utilization_Pct,Calls_Per_Day
SEC_1,42.859969584060146,-88.76169672002227,208,178.96666666666667,2.04,0.57
SEC_2,42.91996958406015,-88.9566967200221,182,169.73333333333332,1.94,0.5
SEC_3,42.92746958406015,-88.8441967200222,296,209.7,2.39,0.81
SEC_4,43.00246958406015,-88.79169672002224,114,100.41666666666667,1.15,0.31
SEC_5,43.00246958406015,-88.59669672002242,252,240.56666666666666,2.74,0.69
SEC_6,43.137469584060156,-88.54419672002247,1230,1041.1,11.88,3.37
SEC_7,43.16746958406016,-88.58169672002244,404,372.48333333333335,4.25,1.11
SEC_8,43.18996958406016,-88.7316967200223,402,308.96666666666664,3.52,1.1
