K,Secondary_Calls,Median_Secondary_RT,P90_Secondary_RT,Mean_Secondary_RT,Pct_Within_10min,Pct_Within_14min,Queue_Events,System_Utilization_Pct,Max_Unit_Utilization_Pct,Total_Ambulances
2,3088,18.52,50.51,22.83,36.0,40.1,288,9.21,16.82,14
3,3088,13.9,33.33,16.01,44.9,50.0,47,8.59,13.62,15
4,3088,8.32,28.44,12.96,52.2,57.6,7,8.06,13.02,16
5,3088,6.52,27.23,11.79,58.3,64.3,0,7.58,12.97,17
6,3088,5.68,24.09,10.07,64.2,70.0,0,7.16,11.88,18
8,3088,5.21,22.59,9.19,68.7,73.4,0,6.45,11.88,20
